Year ,Number of infections 
1999,0
1999,824
1999,1625
1999,1137
1999,1322
1999,1652
1999,1365
1999,537
1999,339
1999,479
1999,810
1999,800
2000,1233
2000,686
2000,664
2000,550
2000,499
2000,574
2000,740
2000,464
2000,331
2000,537
2000,1062
2000,1216
2001,1484
2001,1178
2001,1150
2001,868
2001,1119
2001,1424
2001,1714
2001,856
2001,666
2001,1205
2001,2141
2001,2667
2002,2692
2002,1712
2002,1813
2002,1333
2002,1280
2002,1512
2002,1560
2002,583
2002,411
2002,848
2002,1414
2002,1569
2003,1376
2003,1084
2003,783
2003,265
2003,214
2003,94
2003,149
2003,145
2003,242
2003,495
2003,864
2003,1069
2004,965
2004,1091
2004,966
2004,704
2004,818
2004,1181
2004,1105
2004,532
2004,393
2004,828
2004,1347
2004,1854
2005,2198
2005,1416
2005,1042
2005,766
2005,661
2005,953
2005,988
2005,490
2005,432
2005,611
2005,1000
2005,1373
2006,1254
2006,943
2006,986
2006,819
2006,900
2006,1225
2006,1071
2006,585
2006,595
2006,1149
2006,2202
2006,2685
2007,3357
2007,2263
2007,1833
2007,1194
2007,1290
2007,1331
2007,1069
2007,521
2007,533
2007,1126
2007,1554
2007,1862
2008,1756
2008,1052
2008,670
2008,509
2008,516
2008,592
2008,666
2008,328
2008,351
2008,656
2008,862
2008,968
2009,909
2009,783
2009,616
2009,620
2009,673
2009,704
2009,339
2009,246
2009,249
2009,319
2009,571
2009,747
2010,789
2010,563
2010,723
2010,657
2010,937
2010,1280
2010,1045
2010,581
2010,634
2010,1042
2010,1632
2010,1712
2011,1754
2011,996
2011,988
2011,889
2011,1097
2011,1650
2011,1449
2011,780
2011,565
2011,858
2011,1337
2011,1270
2012,1131
2012,679
2012,558
2012,413
2012,587
2012,720
2012,601
2012,451
2012,390
2012,745
2012,1161
2012,1153
2013,1101
2013,765
2013,746
2013,658
2013,859
2013,1056
2013,1042
2013,599
2013,517
2013,926
2013,1316
2013,1341
2014,1082
2014,745
2014,584
2014,551
2014,595
2014,605
2014,703
2014,413
2014,373
2014,544
2014,820
2014,785
2015,853
2015,522
2015,497
2015,549
2015,666
2015,963
2015,802
2015,470
2015,478
2015,847
2015,1033
2015,1066
2016,925
2016,553
2016,497
2016,441
2016,578
2016,785
2016,670
2016,399
2016,548
2016,911
2016,1194
2016,1378
2017,1076
2017,752
2017,787
2017,806
2017,863
2017,1143
2017,860
2017,422
2017,360
2017,548
2017,893
2017,837
2018,756
2018,399
2018,412
2018,499
2018,581
2018,710
2018,550
2018,354
2018,466
2018,914
2018,1041
2018,909
2019,809
2019,510
2019,473
2019,552
2019,641
2019,679
2019,599
2019,305
2019,323
2019,505
2019,745
2019,757
