Month,Imported Cases,Local Cases,Unclassified Cases,Total
2002,2,0,0,2
2002,0,0,0,0
2002,0,0,0,0
2002,1,0,0,1
2002,2,0,0,2
2002,1,0,0,1
2002,0,0,0,0
2002,4,0,0,4
2002,4,13,0,17
2002,5,7,0,12
2002,4,0,0,4
2002,1,0,0,1
2003,5,0,0,5
2003,5,0,0,5
2003,0,0,0,0
2003,1,0,0,1
2003,4,0,0,4
2003,4,0,0,4
2003,4,0,0,4
2003,12,0,0,12
2003,6,0,0,6
2003,2,1,0,3
2003,1,0,0,1
2003,4,0,0,4
2004,5,0,0,5
2004,3,0,0,3
2004,1,0,0,1
2004,1,0,0,1
2004,2,0,0,2
2004,2,0,0,2
2004,3,0,0,3
2004,5,0,0,5
2004,4,0,0,4
2004,1,0,0,1
2004,2,0,0,2
2004,2,0,0,2
2005,0,0,0,0
2005,2,0,0,2
2005,1,0,0,1
2005,3,0,0,3
2005,0,0,0,0
2005,2,0,0,2
2005,2,0,0,2
2005,4,0,0,4
2005,5,0,0,5
2005,4,0,0,4
2005,4,0,0,4
2005,4,0,0,4
2006,3,0,0,3
2006,1,0,0,1
2006,1,0,0,1
2006,4,0,0,4
2006,2,0,0,2
2006,3,0,0,3
2006,4,0,0,4
2006,5,0,0,5
2006,1,0,0,1
2006,4,0,0,4
2006,2,0,0,2
2006,1,0,0,1
2007,2,0,0,2
2007,1,0,0,1
2007,1,0,0,1
2007,2,0,0,2
2007,2,0,0,2
2007,3,0,0,3
2007,6,0,0,6
2007,23,0,0,23
2007,6,0,0,6
2007,6,0,0,6
2007,4,0,0,4
2007,2,0,0,2
2008,3,0,0,3
2008,4,0,0,4
2008,0,0,0,0
2008,4,0,0,4
2008,3,0,0,3
2008,1,0,0,1
2008,3,0,0,3
2008,9,0,0,9
2008,4,0,0,4
2008,5,0,0,5
2008,4,0,0,4
2008,2,0,0,2
2009,0,0,0,0
2009,3,0,0,3
2009,4,0,0,4
2009,8,0,0,8
2009,5,0,0,5
2009,1,0,0,1
2009,2,0,0,2
2009,2,0,0,2
2009,3,0,0,3
2009,4,0,0,4
2009,8,0,0,8
2009,3,0,0,3
2010,4,0,0,4
2010,3,0,0,3
2010,5,0,0,5
2010,5,0,0,5
2010,6,0,0,6
2010,8,0,0,8
2010,4,0,0,4
2010,18,0,0,18
2010,12,4,0,16
2010,7,0,0,7
2010,6,0,0,6
2010,1,0,0,1
2011,3,0,0,3
2011,1,0,0,1
2011,0,0,0,0
2011,2,0,0,2
2011,3,0,0,3
2011,0,0,0,0
2011,0,0,0,0
2011,8,0,0,8
2011,3,0,0,3
2011,2,0,0,2
2011,4,0,0,4
2011,4,0,0,4
2012,4,0,0,4
2012,5,0,0,5
2012,5,0,0,5
2012,5,0,0,5
2012,5,0,0,5
2012,2,0,0,2
2012,6,0,0,6
2012,6,0,0,6
2012,6,0,0,6
2012,3,0,0,3
2012,3,0,0,3
2012,3,0,0,3
2013,12,0,0,12
2013,4,0,0,4
2013,4,0,0,4
2013,6,0,0,6
2013,7,0,0,7
2013,7,0,0,7
2013,11,0,0,11
2013,18,0,0,18
2013,12,0,0,12
2013,3,0,0,3
2013,15,0,0,15
2013,4,0,0,4
2014,13,0,0,13
2014,0,0,0,0
2014,7,0,0,7
2014,10,0,0,10
2014,4,0,0,4
2014,12,1,0,13
2014,6,0,0,6
2014,16,0,1,16
2014,14,0,0,15
2014,14,0,0,14
2014,9,1,0,10
2014,5,1,1,6
2015,13,0,0,13
2015,0,0,0,0
2015,7,0,0,7
2015,10,0,0,10
2015,4,0,0,4
2015,12,1,0,13
2015,6,0,0,6
2015,16,0,0,16
2015,14,0,1,15
2015,14,0,0,14
2015,9,1,0,10
2015,5,1,0,6
2016,9,0,0,9
2016,9,0,0,9
2016,4,0,0,4
2016,11,0,0,11
2016,11,0,0,11
2016,7,0,0,7
2016,13,0,0,13
2016,16,2,0,18
2016,19,2,0,21
2016,8,0,0,8
2016,9,0,0,9
2016,4,0,0,4
2017,9,0,0,9
2017,5,0,0,5
2017,4,0,0,4
2017,4,0,0,4
2017,11,0,0,11
2017,17,0,0,17
2017,8,0,0,8
2017,12,1,0,13
2017,9,0,0,9
2017,10,0,0,10
2017,7,0,0,7
2017,5,0,0,5
2018,6,0,0,6
2018,2,0,0,2
2018,3,0,0,3
2018,8,0,0,8
2018,5,0,0,5
2018,17,0,0,17
2018,12,0,0,12
2018,11,29,0,40
2018,17,0,0,17
2018,25,0,0,25
2018,22,0,0,22
2018,6,0,0,6
2019,16,0,0,16
2019,12,0,0,12
2019,5,0,0,5
2019,10,0,0,10
2019,9,0,0,9
2019,23,0,0,23
2019,23,0,0,23
2019,40,0,0,40
2019,19,0,0,19
2019,20,0,0,20
2019,15,1,0,16
2019,5,0,0,5
