Year,No. of TB Death for Male,"Death Rate for Male (per 100,000 population)",No. of TB Death for Female,"Death Rate for Female (per 100,000 population)",Total No. of TB Death,"Death Rate (per 100,000 population)"
1995,0,0,0,0,0,0
1995,0,0,0,0,0,0
1995,0,0,0,0,0,0
1995,0,0,0,0,0,0
1995,2,0.9,0,0,2,0.4
1995,0,0,1,0.3,1,0.2
1995,3,1,0,0,3,0.5
1995,3,0.9,2,0.6,5,0.8
1995,6,2.3,2,0.8,8,1.6
1995,11,5.2,2,1.1,13,3.3
1995,8,6,2,1.9,10,4.2
1995,21,15.3,2,1.7,23,9
1995,41,31,7,5.7,48,18.8
1995,36,33,10,8.9,46,20.7
1995,51,66.9,12,13.5,63,38.2
1995,137,163.3,59,45,196,91.2
1995,0,0,0,0,0,0
1995,0,0,0,0,0,0
1996,0,0,0,0,0,0
1996,1,0.5,0,0,1,0.3
1996,0,0,0,0,0,0
1996,0,0,0,0,0,0
1996,3,1.3,0,0,3,0.6
1996,2,0.8,1,0.3,3,0.6
1996,0,0,0,0,0,0
1996,2,0.6,1,0.3,3,0.4
1996,11,4,4,1.5,15,2.8
1996,6,2.5,2,0.9,8,1.8
1996,6,4.1,0,0,6,2.3
1996,13,9.3,2,1.7,15,5.8
1996,20,14.2,5,3.9,25,9.3
1996,27,22.8,4,3.3,31,13
1996,37,43.8,10,10.4,47,26
1996,83,90,50,35,133,56.6
1996,0,0,0,0,0,0
1996,0,0,0,0,0,0
1997,0,0,0,0,0,0
1997,0,0,0,0,0,0
1997,0,0,0,0,0,0
1997,0,0,0,0,0,0
1997,1,0.4,2,0.8,3,0.6
1997,0,0,1,0.3,1,0.2
1997,1,0.3,0,0,1,0.2
1997,4,1.2,1,0.3,5,0.7
1997,7,2.4,1,0.4,8,1.4
1997,5,2.1,1,0.4,6,1.3
1997,3,1.9,1,0.7,4,1.4
1997,13,9.5,0,0,13,5.2
1997,15,10.6,5,3.9,20,7.4
1997,28,22.9,3,2.5,31,12.7
1997,24,27.6,3,3.1,27,14.6
1997,87,90.6,46,31.1,133,54.6
1997,0,0,0,0,0,0
